opt_segment,RMR_MODEL_LOGIN_1_model_score1,login22_score,datatype,goods_actioned,prevention_rate,accuracy,objf
LS_0120_pw_gray_XO,130,,1,0.009135556,0.802790925,0.992115064,0.754000112
LS_0120_pw_gray_XO,135,,1,0.009054747,0.802677382,0.992183168,0.754034428
LS_0120_pw_gray_XO,140,,1,0.008968828,0.8025683,0.992255722,0.754073328
LS_0120_pw_gray_XO,145,,1,0.008896962,0.802450519,0.99231618,0.754100419
LS_0120_pw_gray_XO,150,,1,0.008830526,0.802332069,0.992372002,0.75412351
LS_0120_pw_gray_XO,155,,1,0.008766646,0.802218526,0.992425702,0.754145797
LS_0120_pw_gray_XO,160,,1,0.008704043,0.802093606,0.992478221,0.754164845
LS_0120_pw_gray_XO,165,,1,0.008645911,0.801970694,0.992526944,0.754181123
LS_0120_pw_gray_XO,170,,1,0.008591932,0.801848452,0.99257213,0.754194582
LS_0120_pw_gray_XO,175,,1,0.008531246,0.801724424,0.992623075,0.754212481
LS_0120_pw_gray_XO,180,,1,0.008474392,0.801593036,0.992670684,0.754226139
LS_0120_pw_gray_XO,185,,1,0.00842744,0.80146544,0.992709844,0.754233506
LS_0120_pw_gray_XO,190,,1,0.008386237,0.80133472,0.992744053,0.754236128
LS_0120_pw_gray_XO,195,,1,0.008339604,0.801202662,0.992782929,0.754242369
LS_0120_pw_gray_XO,200,,1,0.008295846,0.801069043,0.992819336,0.754246241
LS_0120_pw_gray_XO,205,,1,0.008255282,0.800936985,0.992853027,0.754248157
LS_0120_pw_gray_XO,210,,1,0.008208649,0.800798013,0.992891887,0.754253005
LS_0120_pw_gray_XO,215,,1,0.008169043,0.800660601,0.992924735,0.754253153
LS_0120_pw_gray_XO,220,,1,0.008130715,0.800522967,0.992956496,0.754252348
LS_0120_pw_gray_XO,225,,1,0.008095581,0.800387563,0.99298554,0.754249721
LS_0120_pw_gray_XO,230,,1,0.008062682,0.800249928,0.993012653,0.754245041
LS_0120_pw_gray_XO,235,,1,0.008035852,0.800102032,0.993034464,0.754233915
LS_0120_pw_gray_XO,240,,1,0.008008384,0.799955921,0.99305685,0.754223617
LS_0120_pw_gray_XO,245,,1,0.007981554,0.799804233,0.993078647,0.754211724
LS_0120_pw_gray_XO,250,,1,0.007952169,0.799652768,0.993102655,0.754201713
LS_0120_pw_gray_XO,255,,1,0.007917673,0.799505096,0.99313111,0.75419615
LS_0120_pw_gray_XO,260,,1,0.007890843,0.79934047,0.993152826,0.754181621
LS_0120_pw_gray_XO,265,,1,0.007863375,0.799175844,0.993175103,0.754167556
LS_0120_pw_gray_XO,270,,1,0.00783399,0.799019248,0.99319911,0.754156518
LS_0120_pw_gray_XO,275,,1,0.00781227,0.798857299,0.993216472,0.754138889
LS_0120_pw_gray_XO,280,,1,0.007788635,0.798690665,0.993235455,0.754121679
LS_0120_pw_gray_XO,285,,1,0.007761805,0.798530054,0.993257253,0.754108002
LS_0120_pw_gray_XO,290,,1,0.007738169,0.798372344,0.993276329,0.754092632
LS_0120_pw_gray_XO,295,,1,0.00771613,0.798216863,0.993294053,0.754076578
LS_0120_pw_gray_XO,300,,1,0.007693133,0.798058929,0.993312591,0.754060714
LS_0120_pw_gray_XO,305,,1,0.007672372,0.797909026,0.993329273,0.754044895
LS_0120_pw_gray_XO,310,,1,0.007648097,0.7977589,0.993348995,0.754031558
LS_0120_pw_gray_XO,315,,1,0.00762542,0.797600073,0.993367274,0.754015295
LS_0120_pw_gray_XO,320,,1,0.007607853,0.797438793,0.993381124,0.753994862
LS_0120_pw_gray_XO,325,,1,0.007591244,0.797281529,0.993394184,0.753974567
LS_0120_pw_gray_XO,330,,1,0.007570483,0.797126718,0.99341086,0.753957763
LS_0120_pw_gray_XO,335,,1,0.007554512,0.796966107,0.993423352,0.75393633
LS_0120_pw_gray_XO,340,,1,0.00753982,0.796800142,0.993434701,0.753912885
LS_0120_pw_gray_XO,345,,1,0.007516823,0.796646224,0.993453338,0.753897883
LS_0120_pw_gray_XO,350,,1,0.007499895,0.796488959,0.993466704,0.753877835
LS_0120_pw_gray_XO,355,,1,0.007484563,0.796326787,0.993478653,0.753855636
LS_0120_pw_gray_XO,360,,1,0.007466677,0.796174876,0.993492903,0.753837382
LS_0120_pw_gray_XO,365,,1,0.007450387,0.796016273,0.993505722,0.75381661
LS_0120_pw_gray_XO,370,,1,0.007426113,0.795868377,0.993525549,0.753803782
LS_0120_pw_gray_XO,375,,1,0.007406948,0.795712004,0.993540888,0.753785544
LS_0120_pw_gray_XO,380,,1,0.007390339,0.795550501,0.993553979,0.75376442
LS_0120_pw_gray_XO,385,,1,0.007373411,0.795383645,0.993567308,0.753742432
LS_0120_pw_gray_XO,390,,1,0.007358399,0.795227272,0.993579067,0.753721215
LS_0120_pw_gray_XO,395,,1,0.007343387,0.795074469,0.993590859,0.753700731
LS_0120_pw_gray_XO,400,,1,0.007321348,0.79491185,0.993608672,0.753683303
LS_0120_pw_gray_XO,405,,1,0.00730442,0.794753693,0.993622095,0.753663111
LS_0120_pw_gray_XO,410,,1,0.007290686,0.794594198,0.993632741,0.753640347
LS_0120_pw_gray_XO,415,,1,0.007271522,0.794448979,0.993648218,0.753624422
LS_0120_pw_gray_XO,420,,1,0.007252677,0.794303091,0.993663419,0.753608134
LS_0120_pw_gray_XO,425,,1,0.007235749,0.794159656,0.993676981,0.75359097
LS_0120_pw_gray_XO,430,,1,0.00721882,0.794007299,0.993690477,0.753571982
LS_0120_pw_gray_XO,435,,1,0.007201253,0.793866542,0.993704626,0.753555833
LS_0120_pw_gray_XO,440,,1,0.007186561,0.793721769,0.993716251,0.753536792
LS_0120_pw_gray_XO,445,,1,0.007169313,0.793572312,0.993730064,0.753518638
LS_0120_pw_gray_XO,450,,1,0.007145358,0.793423524,0.993749719,0.753505465
LS_0120_pw_gray_XO,455,,1,0.007122999,0.79326782,0.993767939,0.753489728
LS_0120_pw_gray_XO,460,,1,0.007105752,0.793114125,0.993781738,0.753470718
LS_0120_pw_gray_XO,465,,1,0.007084991,0.792968683,0.993798664,0.753455937
LS_0120_pw_gray_XO,470,,1,0.007063271,0.792827256,0.993816461,0.753442673
LS_0120_pw_gray_XO,475,,1,0.007042191,0.792678691,0.993833654,0.753427492
LS_0120_pw_gray_XO,480,,1,0.007019194,0.792516965,0.99385242,0.753411006
LS_0120_pw_gray_XO,485,,1,0.006998113,0.792364162,0.993869595,0.753394967
LS_0120_pw_gray_XO,490,,1,0.006969047,0.792206451,0.993893693,0.753383697
LS_0120_pw_gray_XO,495,,1,0.006942537,0.792047402,0.993915566,0.753370313
LS_0120_pw_gray_XO,500,,1,0.00690868,0.791898614,0.993943928,0.753364343
LS_0120_pw_gray_XO,505,,1,0.006885044,0.791759864,0.993963471,0.753353046
LS_0120_pw_gray_XO,510,,1,0.00686045,0.79160996,0.993983772,0.753340165
LS_0120_pw_gray_XO,515,,1,0.006838092,0.791467418,0.994002187,0.753327178
LS_0120_pw_gray_XO,520,,1,0.00681254,0.791318184,0.994023346,0.753315136
LS_0120_pw_gray_XO,525,,1,0.006778683,0.791162481,0.994051708,0.753307784
LS_0120_pw_gray_XO,530,,1,0.006752173,0.791018823,0.994073763,0.753297588
LS_0120_pw_gray_XO,535,,1,0.006727259,0.790865574,0.994094363,0.753284281
LS_0120_pw_gray_XO,540,,1,0.006699471,0.790711655,0.994117475,0.753272922
LS_0120_pw_gray_XO,545,,1,0.006672642,0.790569336,0.994139847,0.753263247
LS_0120_pw_gray_XO,550,,1,0.006645492,0.790420994,0.994162462,0.753252578
LS_0120_pw_gray_XO,555,,1,0.006620898,0.79026663,0.994182811,0.753238833
