opt_segment,RMR_MODEL_LOGIN_1_model_score1,prevention_rate,bad_rate,goods_actioned,accuracy,num_of_sessions_total,login22_score,datatype
LS_0120_pw_good_AA,,0.020408163,0.001263997,0.000280239,0.084388186,775318,565,ALL
LS_0120_pw_good_AA,,0.019387755,0.001263997,0.000275074,0.081896552,775318,570,ALL
LS_0120_pw_good_AA,,0.019387755,0.001263997,0.000266034,0.084444444,775318,575,ALL
LS_0120_pw_good_AA,,0.019387755,0.001263997,0.000254411,0.087962963,775318,580,ALL
LS_0120_pw_good_AA,,0.019387755,0.001263997,0.000240205,0.092682927,775318,585,ALL
LS_0120_pw_good_AA,,0.019387755,0.001263997,0.000229874,0.096446701,775318,590,ALL
LS_0120_pw_good_AA,,0.017346939,0.001263997,0.000220834,0.090425532,775318,595,ALL
LS_0120_pw_good_AA,,0.016326531,0.001263997,0.000214377,0.087912088,775318,600,ALL
LS_0120_pw_good_AA,,0.016326531,0.001263997,0.000213085,0.08839779,775318,605,ALL
LS_0120_pw_good_AA,,0.016326531,0.001263997,0.000205337,0.091428571,775318,610,ALL
LS_0120_pw_good_AA,,0.015306122,0.001263997,0.00019888,0.088757396,775318,615,ALL
LS_0120_pw_good_AA,,0.015306122,0.001263997,0.000197588,0.089285714,775318,620,ALL
LS_0120_pw_good_AA,,0.014285714,0.001263997,0.000192422,0.085889571,775318,625,ALL
LS_0120_pw_good_AA,,0.014285714,0.001263997,0.000185965,0.088607595,775318,630,ALL
LS_0120_pw_good_AA,,0.014285714,0.001263997,0.000176925,0.092715232,775318,635,ALL
LS_0120_pw_good_AA,,0.014285714,0.001263997,0.000173051,0.094594595,775318,640,ALL
LS_0120_pw_good_AA,,0.014285714,0.001263997,0.000169177,0.096551724,775318,645,ALL
LS_0120_pw_good_AA,,0.013265306,0.001263997,0.000164011,0.092857143,775318,650,ALL
LS_0120_pw_good_AA,,0.013265306,0.001263997,0.000157554,0.096296296,775318,655,ALL
